Brand,Review,Sentiments,Polarity
puma,"These Puma for like two clouds on my feet. I got the ones in black. They were as described by Puma. I am happy as a clam. I sold shoes for ten years at two big department stores, and I am very lucky. These pass the test. I am mentioning that, bc I saw a few negative negative reviews. I wear a 7, but one of my feet is a 6 1/2, so the 7 fits perfectly on me.",Positive,0.170833333
,,,
puma,These are the perfect white sneaker for jeans! I’ve been looking for the perfect simple white sneaker for a few months now. I wanted something less bulky than the adidas superstar and these are it!!!,Positive,0.305555556
,,,
puma,After a long day they get uncomfortable. Not flexible to us e on long walks,Negative,-0.2
,,,
puma,Love the colours and they fit perfect,Positive,0.633333333
,,,
puma,"Great shoes. Very comfortable. I found them to fit 1/2 to one full size larger than Nike and Reebok. I wear an 8 in Nike and Reebok, tried the 8 in Puma, but was far too big (long). I order the 7.5 Puma. It’s slightly too long.",Positive,0.23
,,,
puma,"This is by far the most comfortable golf shoe I have ever worn. Fits perfectly, I take a size 11 and ordered a size 11. Update on my review, still the most comfortable golf shoe I have worn. The problem is they state these are made of waterproof mesh. The shoe is far from waterproof, actually it is not even water resistant. As the weather has cooled we get morning dew, my feet get soaked in this shoe. They are not waterproof whatsoever, misleading information.",Positive,0.333333333
,,,
puma,"Wow - just blown away by how comfortable these shoes are, while still retaining the necessary support. They look great as well. These have quickly become my favorite golf shoe ever. It's not even close.",Positive,0.355555556
,,,
puma,"These shoes are really comfortable, but the white base is not really white and the tag was old. There is no arch support for those who need it and the material can irritate soft skin. Though they came in a red puma box, the sellers name has me confused if these are original. A clever dupe if at all it is one.",Neutral,-0.005833333
,,,
Adidas,"These are adorable - i love them. These are the grand court adidas which are a little more lightweight, flexible, and soft than the leather $80 version",Positive,0.2825
,,,
Adidas,They fit is as expected and I think they are very comfy- great for work and standing .,Positive,0.366666667
,,,
Adidas,Great sneaks!! Very happy! I'm usually am an 8 but some 8s are to big so I ordered a 7 1/2 so glad I did. Perfect!!,Positive,0.66
,,,
Adidas,Great running shoe right out of the box! Highly recommended it......love this shoe. I run 40-50 miles a week.,Positive,0.436428571
,,,
Adidas,Bought these for an upcoming trip. They got perfect and look great. I'm excited to wear them!,Positive,0.725
,,,
Adidas,I'm new to running and didn't know anything about appropriate shoes. After a bit of Googling I came across Brooks. They have a 'which shoe is right for you' test on their website and these came up high for me. I had to re-adjust my pace when I started wearing them as I started running too fast for my level but these shoes give you the power to run short or long distances. I'm training for a 10k and would recommend these shoes. My normal shoesize isbetween 5 and 6. I see some say go for bigger size. I usually go for 5.5 in trainers and that's what I did here and they fit perfect.,Positive,0.211006494
,,,
Adidas,Great product & a fantastic price,Positive,0.6
,,,
Adidas,"Within one week of school-only wear, the lace loops tore off and there was fraying around the lace area. Very displeased.",Positive,0.2
,,,
Adidas,"It is a lighter colour grey, not the same colour shown on the picture, but fits like a glove and not disappointed with the final product",Negative,-0.266666667
,,,
Adidas,"After wearing these shoes just twice, I started developing noticeable fraying in the fabric by the toe area. The material in the UltaBoost 20's is much cheaper than that of previous models.",Neutral,0.016666667
,,,
Adidas,The shoe is a good running shoe. True to size fit. Maybe not for wider feet however still wider than ultraboost 1-4. The midfoot cage is more comfortable because it doesnt squeeze the 5th metatarsal bone the lateral side as much because of the new placement. The primeknit is only 3/4 of the shoe but lightly stiffer. The heel cup is made of a more padded soft material. There is no reflection on the orange heel line. The boost material is the same as the ultraboost 19. No carbonfiber plate. Outsole is the same as ultraboost 19.,Positive,0.355194805
,,,
Adidas,"If the Ultraboosts were cheaper, maybe I would feel differently about them; however, $180 is a bit much for unremarkable shoes.",Positive,0.1
,,,
Adidas,he package box came beat up and to my surprise found that the insoles of the shoes where missing. I have to return this iteam. May be i got one of the faulty pieces. Never expected this from Adidas.,Negative,-0.075
,,,
Adidas,Love these shoes. I received a pair of ultra boost about 3 years ago as a gift and they’ve become my go to shoes for comfort and style,Positive,0.5
,,,
Adidas,"I have been wearing ultraboost shoes since it launched years ago, and this is by far the most stable and cushioned pair out of all the past models. the extra stitching in the front toe box really helps keep the foot stable, and also adds to the design element of the shoe.",Neutral,0.0125
,,,
Adidas,Love these shoes. I received a pair of ultra boost about 3 years ago as a gift and they’ve become my go to shoes for comfort and style. This is my 4th pair and I’m happy with the comfort and love the cool space look with the fun color change sole. Really liked the white pair with the color change sole as well but I have trouble keeping shoes clean. You won’t regret these. Can wear them comfortably all day.,Positive,0.301388889
,,,
Adidas,"Not a very picky shoe guy but this review may sound different.
But they are very slidy on my feet and a half sz smaller crushes your foot( the 18s and 19s feel wayyy different). Maybe I just have a weird foot idk but the pros are that it’s a little more padded that’s about all.",Negative,-0.064880952
,,,
Adidas,"Awsome shoe I bought to walk around Disney then workout in afterwards and this shoe performs in both aspects Perfectly! It’s super Comfy and stylish for hanging out in. They feel really good working out in, like running on clouds.",Positive,0.511111111
,,,
Adidas,"My feet never had an issue the entire time. These are the best running shoes I've ever had. I've tried everything from Hokas, to various Nikes. This is easily the best. Passed my stress test.",Positive,0.5
,,,
Adidas,"y only downsides are that: (1) The shoes felt slightly clunky in my initial warm up kms (this shoe is quite heavy in comparison to others), but once my legs were warmed up, I didn't notice a thing, and the boost definitely helped to compensate the extra weight. (2) My feet warmed up pretty quickly in these shoes (and it wasn't due to weather, because it was a nice cool day in Toronto); I think a lot of it has to do with the upper cage, as I felt a bit of condensation after my run (not sure why the cage is there anyways – heats up the shoe and adds unnecessary weight imo)",Positive,0.124404762
,,,
Nike,Product seems to be as expected and of fairly good quality but I received one size 10 and one size 12 not sure what happened there. Very disappointing considering I waited two weeks to get them,Positive,0.08
,,,
Nike,"I have only been using these for the last few weeks in the gym. But so far so good, they are a sturdy shoe which is easy to break it. The do not feel cheap or like they are going to fall apart. Good purchase imo.",Positive,0.388888889
,,,
Nike,Great shoes. Love them. Perfect fit and supper comfortable.,Positive,0.62
,,,
Nike,Really nice sneakers I bought for my brother he like it,Positive,0.6
,,,
Nike,They are perfect and flawless! Shipped faster than expected,Positive,0.633333333
,,,
Nike,"I have had these for a while now and wanted to try them out before posting a review. All I can is that they are worth it and have definitely outlasted other shoes I have had. I am always hiking, jogging or walking my pups and these shoes are still holding on strong. Definitely recommend these. That photo I posted is of the shoes is after months of activities and they still have grip and look good.",Positive,0.286666667
,,,
Nike,nice shoes - as usual i order Nike 1 full size larger and they fit perfect. granted my feet are wide.,Positive,0.285714286
,,,
Nike,Got these for my boyfriend as a running shoe. He runs every day or every other and he is pretty happy with the support. These are the only shoes he has had yet that have improved his knee and ankle support/pain since he is a bigger man.,Positive,0.35
,,,
Nike,The colors are alittle different than i originally expected. The gray is more like a light gray than a gunmetal. The blue is alot less metallic than the photo & brighter ,Neutral,0.026666667
,,,
Nike,"it appeared to me that these particular shoes have ""made the rounds"" so to speak. box was damaged, and I would bet good money that more than one person has returned this particular pair of shoes. The right shoe was defective in the toe area on the inside of the shoe",Positive,0.329761905
,,,
Nike,"These shoes look great. and when I first put them on they felt slightly snug but good. however, after walking my dog it became clear that there were defects in these shoes that made them incredibly painful to walk in. there is a lump of fabric and padding under the tongue of each shoe that presses against the top of my feet just before my big toes. I thought at first that they might soften but having walked my dog three times now wearing these shoes it's clear that I have to return these. This is a real shame because they look really great but they have to go. I have to assume e these are in fact defects and not features to be found in every pair of these, but buyer beware!",Positive,0.236111111
,,,
Nike,The bottom of the right shoe is already starting to separate from the shoe itself. i have never seen this before in a nike shoe.,Positive,0.142857143
,,,
Nike,Bought these for my son and so far he really likes them. Definitely a nice shoe. I’ll update comments after he wears the shoes for awhile.,Positive,0.3
,,,
Nike,This shoe is a fake Adidas made in Indonesia! Adidas are made in China and the quality is much different. Don’t buy FAKE!,Negative,-0.333333333
,,,
Nike,I have to give the shoe three stars only because it is a very narrow shoe. I really liked the shoe because it was more like an athletic running type shoe but the width was really way too narrow and didn't fit as expected.,Positive,0.116666667
,,,
Nike,"Love, love, love these shoes. I've been golfing 38 years and have gone through more than a few golf shoes. These shoes, by far, are the most comfortable yet! Easy on/off too. They are light and the grip is just right. I'm very pleased with these shoes and I expect they'll wear well. I do not expect them to be waterproof but I haven't experience any issues playing in morning dew. I convinced you'll be pleased if you get these shoes.",Positive,0.411904762
,,,
Nike,I've read a lot of reviews that refer to these as very narrow. I have wide feet and normally wear a EEE size in New Balance. I was almost tempted to go one size up but instead elected to order the Wide version of my size 10. And they fit wonderfully! I just played my first 18 holes in them and I love them. The rest of my foursome of knuckleheads noticed right away and said the shoes looked cool but were quick to ask if my wife dressed me.,Positive,0.250450938
,,,
Nike,"These fit great. If you notice the negative reviews regarding width, they're men that purchased ""W"" shoes, which stands for ""Womens"". I have fat feet, and I ordered my normal sneaker size in mens shoes, and they fit great. I immediately put gel insoles in them, and they still didn't have quite enough cushion at first. After a couple of rounds, they softened up on me. They're easy to clean, and seem very sturdy. We'll see how they hold up.",Positive,0.33
,,,
Nike,"I have purchased golf shoes that are triple the cost of theses and have been disappointed. The first time I wore them, they felt very still as I walked with them. The next couple of times I rode in a golf cart. The cleats are designed to hold the ground and the overall stability of the golf shoe gives support. As of today's date, I have walked with them a couple of more times and feel that I am breaking them in. Still a little stiff, but there is no arch/foot pain with these. If I am able to break them in, they just may be a great bargain.",Neutral,0.049776786
,,,
Nike,"I have feet that have been abused by years of violent sports and wearing shoes in general can be tough for me. Traditional golf shoes are a killer after just a few holes. These shoes are fantastic to my feet. I've worn them one time and there was no break-in needed. the width - wide - was great, my toes weren't crying as they normally do when they get put into shoes, and there was no heel irritation from rubbing against my skin. They are a 100 out of 100 on my rating scale.",Neutral,-0.009876543
